"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (20)","/src/google/protobuf/arena_impl.h","257","23","257","31"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (197)","/src/google/protobuf/arena.h","224","43","224","47"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (21)","/src/google/protobuf/message.h","232","23","232","29"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (92)","/src/google/protobuf/message_lite.h","207","23","207","33"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (24)","/src/google/protobuf/parse_context.h","108","23","108","40"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (17)","/src/google/protobuf/arenastring.h","172","24","172","37"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (20)","/src/google/protobuf/io/coded_stream.h","652","23","652","41"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (22)","/src/google/protobuf/io/coded_stream.h","181","23","181","38"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (80)","/src/google/protobuf/descriptor.h","1634","23","1634","36"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (20)","/src/google/protobuf/stubs/logging.h","75","23","75","32"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (14)","/src/google/protobuf/stubs/stringpiece.h","179","23","179","33"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (16)","/src/google/protobuf/metadata_lite.h","59","7","59","22"
