"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (13)","/src/google/protobuf/unknown_field_set.h","230","23","230","34"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (13)
This class has too many dependencies (15)
This class has too many dependencies (14)
This class has too many dependencies (18)","/src/google/protobuf/repeated_field.h","166","7","166","19"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (14)","/src/google/protobuf/repeated_field.h","883","7","883","23"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (13)","/src/google/protobuf/implicit_weak_message.h","130","8","130","27"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (19)","/src/google/protobuf/unknown_field_set.h","84","23","84","37"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (15)","/src/google/protobuf/implicit_weak_message.h","57","23","57","41"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (83)","/src/google/protobuf/extension_set.h","174","23","174","34"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (32)","/src/google/protobuf/extension_set.h","550","10","550","18"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (16)
This class has too many dependencies (21)
This class has too many dependencies (23)","/src/google/protobuf/map.h","369","7","369","9"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (16)
This class has too many dependencies (38)","/src/google/protobuf/map.h","449","9","449","16"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (51)","/src/google/protobuf/wire_format.h","79","23","79","32"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (25)","/src/google/protobuf/reflection_ops.h","63","23","63","35"
